City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
237,Luderitz,NA,-26.6481,15.1594,63.95,66,0,8.79,clear sky
238,Aguimes,ES,27.9054,-15.4461,57.83,67,20,15.01,few clouds
239,Yulin,CN,22.6333,110.15,66.07,76,97,9.31,overcast clouds
240,Talaya,RU,61.3833,152.75,10.85,76,99,3.38,overcast clouds
241,Cairns,AU,-16.9167,145.7667,93.07,62,40,10.36,scattered clouds
242,Noginsk,RU,55.8665,38.4438,28.17,82,100,16.87,overcast clouds
243,Penarroya-Pueblonuevo,ES,38.3,-5.2667,47.44,92,0,4.23,clear sky
244,Alyangula,AU,-13.8483,136.4192,93.07,49,75,3.44,broken clouds
245,Vardo,NO,70.3705,31.1107,26.22,62,100,24.32,light snow
246,Pontal Do Parana,BR,-25.6533,-48.5128,72.72,90,100,5.28,overcast clouds
247,Bathsheba,BB,13.2167,-59.5167,77.61,69,0,16.11,clear sky
248,Mazabuka,ZM,-15.856,27.748,64.53,97,100,1.7,light rain
249,Harper,LR,4.375,-7.7169,78.76,86,99,2.17,overcast clouds
250,Boundiali,CI,9.5217,-6.4869,75.92,72,59,4.68,broken clouds
251,Punta Alta,AR,-38.8759,-62.0736,60.98,56,0,15.26,clear sky
252,Pirovskoye,RU,57.6267,92.2658,18.43,83,100,12.08,overcast clouds
253,Srednekolymsk,RU,67.45,153.6833,11.55,81,100,15.52,overcast clouds
254,Wawa,NG,9.9022,4.4192,79.38,21,54,1.88,broken clouds
255,Chokurdakh,RU,70.6333,147.9167,2.7,91,100,10.13,overcast clouds
256,Saint Anthony,US,45.0205,-93.218,26.26,41,0,14.97,clear sky
257,Erenhot,CN,43.6475,111.9767,41.04,12,0,16.78,clear sky
258,Benguela,AO,-12.5763,13.4055,76.75,84,99,2.64,overcast clouds
259,Kolokani,ML,13.5728,-8.0339,82.18,23,76,6.82,broken clouds
260,Imeni Poliny Osipenko,RU,52.4201,136.4853,24.12,84,100,21.9,overcast clouds
261,Ibicarai,BR,-14.865,-39.5875,74.23,86,70,0.27,broken clouds
262,Luanda,AO,-8.8368,13.2343,78.69,88,100,5.46,overcast clouds
263,Parrita,CR,9.5201,-84.3225,77.65,77,99,4.09,overcast clouds
264,Manta,EC,-0.95,-80.7333,78.58,89,100,1.14,overcast clouds
265,Lar,IN,26.2039,83.9717,88.88,10,0,5.23,clear sky
266,Belaya Gora,RU,68.5333,146.4167,8.96,86,86,9.26,overcast clouds
267,Sabang,ID,5.8933,95.3214,82.35,74,22,1.61,few clouds
268,Murud,IN,18.3258,72.965,85.69,51,14,3.22,few clouds
269,Pandan,PH,14.0453,124.1694,85.03,71,12,10.33,few clouds
270,Sembe,CG,1.6481,14.5806,70.45,82,98,2.06,overcast clouds
271,Hofn,IS,64.2539,-15.2082,44.89,96,100,7.05,overcast clouds
272,Kahului,US,20.8947,-156.47,77.02,69,100,12.66,overcast clouds
273,Innisfail,AU,-17.5333,146.0333,83.3,65,69,8.86,broken clouds
274,Caernarfon,GB,53.1413,-4.2702,48.07,79,6,4.61,clear sky
275,Faya,SA,18.3851,42.4509,55.51,40,26,3.56,scattered clouds
276,Ponta Delgada,PT,37.7333,-25.6667,59.72,82,40,12.66,scattered clouds
277,Homer,US,59.6425,-151.5483,38.8,64,99,5.99,overcast clouds
278,Hanko,FI,59.8333,22.95,26.06,60,100,16.24,overcast clouds
279,Bandarbeyla,SO,9.4942,50.8122,76.75,64,9,6.93,clear sky
280,Jalu,LY,29.0331,21.5482,54.39,21,0,10.11,clear sky
281,Afonso Claudio,BR,-20.0742,-41.1239,69.4,95,18,1.7,few clouds
282,Zogno,IT,45.7919,9.6562,53.15,51,0,5.75,clear sky
283,Ushumun,RU,52.7833,126.5333,32.18,54,49,9.98,scattered clouds
284,Eltham,NZ,-39.4292,174.3,66.69,68,45,9.95,scattered clouds
285,Peshkopi,AL,41.685,20.4289,42.03,59,0,3.67,clear sky
286,Manyoni,TZ,-5.7467,34.8382,61.34,94,73,1.68,broken clouds
287,Georgetown,MY,5.4112,100.3354,91.33,74,20,3.44,few clouds
